dataset,k,metric,threshold,bow,classifier,acc
bitext,10,eucl,0.1,tfidf,rfc,0.7645693057812862
bitext,10,eucl,0.1,tfidf,xgc,0.990016252612027
bitext,10,eucl,0.1,tfidf,nnc,0.9928024146737868
bitext,10,eucl,0.1,count,rfc,0.8390991409333642
bitext,10,eucl,0.1,count,xgc,0.9930345948456002
bitext,10,eucl,0.1,count,nnc,0.9918736939865336
bitext,10,eucl,0.1,bm25,rfc,0.7578360807986998
bitext,10,eucl,0.1,bm25,xgc,0.9928024146737868
bitext,10,eucl,0.1,bm25,nnc,0.9921058741583468
bitext,10,sil,0.1,tfidf,rfc,0.7745530531692594
bitext,10,sil,0.1,tfidf,xgc,0.9928024146737868
bitext,10,sil,0.1,tfidf,nnc,0.9951242163919202
bitext,10,sil,0.1,count,rfc,0.8462967262595774
bitext,10,sil,0.1,count,xgc,0.9932667750174136
bitext,10,sil,0.1,count,nnc,0.9944276758764802
bitext,10,sil,0.1,bm25,rfc,0.7775713954028326
bitext,10,sil,0.1,bm25,xgc,0.9911771534710936
bitext,10,sil,0.1,bm25,nnc,0.9934989551892268
bitext,10,eucl,0.2,tfidf,rfc,0.7694450893893662
bitext,10,eucl,0.2,tfidf,xgc,0.9911771534710936
bitext,10,eucl,0.2,tfidf,nnc,0.9937311353610402
bitext,10,eucl,0.2,count,rfc,0.8430462038541908
bitext,10,eucl,0.2,count,xgc,0.9925702345019736
bitext,10,eucl,0.2,count,nnc,0.9916415138147202
bitext,10,eucl,0.2,bm25,rfc,0.7675876480148596
bitext,10,eucl,0.2,bm25,xgc,0.9909449732992802
bitext,10,eucl,0.2,bm25,nnc,0.9914093336429068
bitext,10,sil,0.2,tfidf,rfc,0.7673554678430462
bitext,10,sil,0.2,tfidf,xgc,0.9914093336429068
bitext,10,sil,0.2,tfidf,nnc,0.9914093336429068
bitext,10,sil,0.2,count,rfc,0.8479219874622708
bitext,10,sil,0.2,count,xgc,0.9932667750174136
bitext,10,sil,0.2,count,nnc,0.9890875319247736
bitext,10,sil,0.2,bm25,rfc,0.7740886928256326
bitext,10,sil,0.2,bm25,xgc,0.9914093336429068
bitext,10,sil,0.2,bm25,nnc,0.9916415138147202
bitext,10,eucl,0.3,tfidf,rfc,0.7887160436498724
bitext,10,eucl,0.3,tfidf,xgc,0.9916415138147202
bitext,10,eucl,0.3,tfidf,nnc,0.9925702345019736
bitext,10,eucl,0.3,count,rfc,0.8321337357789644
