Name,Coef.,Std. Error,t,Pr(>|t|),Lower 95%,Upper 95%
(Intercept),0.6758641975308607,0.031939952614094706,21.160463376285982,8.80356558546096e-80,0.6131713991605432,0.7385569959011782
k,0.00044638447971801426,0.001172217485370256,0.3808034646207478,0.7034467664583997,-0.0018544828804936625,0.002747251839929691
metric: eucl,0.06128640715545479,0.04997310720251419,1.226387763064119,0.22040143119596733,-0.036802465161874576,0.15937527947278415
metric: sil,0.04853968253967832,0.049973107202513474,0.9713160789256854,0.3316745574755158,-0.049549189777649646,0.14662855485700627
threshold,0.01583774250443349,0.11588202741202533,0.13667125833172963,0.8913238720556893,-0.21161934445692207,0.24329482946578904
k & metric: eucl,-0.00028285462333094537,0.0016577658658615045,-0.17062398807683982,0.8645611182341355,-0.0035367724493638865,0.0029710632027019957
k & metric: sil,0.0,NaN,NaN,NaN,NaN,NaN
k & threshold,-0.0019700176366849254,0.0035343687015155128,-0.5573888303843896,0.5774124406798968,-0.008907393751410055,0.0049673584780402045
metric: eucl & threshold,-0.04267762660621077,0.16388193480137714,-0.26041690719563154,0.7946069497998081,-0.36435052384483657,0.278995270632415
metric: sil & threshold,0.0,NaN,NaN,NaN,NaN,NaN
k & metric: eucl & threshold,0.0001845553036032941,0.004998352152110231,0.03692322949381979,0.9705551176973118,-0.009626376085124167,0.009995486692330757
k & metric: sil & threshold,0.0,NaN,NaN,NaN,NaN,NaN
