dataset,k,metric,threshold,bow,classifier,acc
title,10,eucl,0.1,tfidf,rfc,0.5033333333333333
title,10,eucl,0.1,tfidf,xgc,0.615
title,10,eucl,0.1,tfidf,nnc,0.6766666666666666
title,10,eucl,0.1,count,rfc,0.53
title,10,eucl,0.1,count,xgc,0.645
title,10,eucl,0.1,count,nnc,0.6733333333333333
title,10,eucl,0.1,bm25,rfc,0.535
title,10,eucl,0.1,bm25,xgc,0.6566666666666666
title,10,eucl,0.1,bm25,nnc,0.675
title,10,sil,0.1,tfidf,rfc,0.4666666666666667
title,10,sil,0.1,tfidf,xgc,0.6116666666666667
title,10,sil,0.1,tfidf,nnc,0.6733333333333333
title,10,sil,0.1,count,rfc,0.5283333333333333
title,10,sil,0.1,count,xgc,0.62
title,10,sil,0.1,count,nnc,0.665
title,10,sil,0.1,bm25,rfc,0.5133333333333333
title,10,sil,0.1,bm25,xgc,0.6433333333333333
title,10,sil,0.1,bm25,nnc,0.6833333333333333
title,10,eucl,0.2,tfidf,rfc,0.5316666666666666
title,10,eucl,0.2,tfidf,xgc,0.6466666666666666
title,10,eucl,0.2,tfidf,nnc,0.68
title,10,eucl,0.2,count,rfc,0.5066666666666667
title,10,eucl,0.2,count,xgc,0.6266666666666667
title,10,eucl,0.2,count,nnc,0.6483333333333333
title,10,eucl,0.2,bm25,rfc,0.47833333333333333
title,10,eucl,0.2,bm25,xgc,0.6183333333333333
title,10,eucl,0.2,bm25,nnc,0.6683333333333333
title,10,sil,0.2,tfidf,rfc,0.4633333333333333
title,10,sil,0.2,tfidf,xgc,0.6283333333333333
title,10,sil,0.2,tfidf,nnc,0.6566666666666666
title,10,sil,0.2,count,rfc,0.5333333333333333
title,10,sil,0.2,count,xgc,0.6416666666666667
title,10,sil,0.2,count,nnc,0.6566666666666666
title,10,sil,0.2,bm25,rfc,0.51
title,10,sil,0.2,bm25,xgc,0.64
title,10,sil,0.2,bm25,nnc,0.6583333333333333
title,10,eucl,0.3,tfidf,rfc,0.5
title,10,eucl,0.3,tfidf,xgc,0.6316666666666667
title,10,eucl,0.3,tfidf,nnc,0.6833333333333333
title,10,eucl,0.3,count,rfc,0.485
title,10,eucl,0.3,count,xgc,0.6116666666666667
title,10,eucl,0.3,count,nnc,0.675
title,10,eucl,0.3,bm25,rfc,0.47
title,10,eucl,0.3,bm25,xgc,0.6166666666666667
title,10,eucl,0.3,bm25,nnc,0.6466666666666666
title,10,sil,0.3,tfidf,rfc,0.5233333333333333
title,10,sil,0.3,tfidf,xgc,0.6366666666666667
title,10,sil,0.3,tfidf,nnc,0.6716666666666666
title,10,sil,0.3,count,rfc,0.525
title,10,sil,0.3,count,xgc,0.655
title,10,sil,0.3,count,nnc,0.6766666666666666
title,10,sil,0.3,bm25,rfc,0.52
title,10,sil,0.3,bm25,xgc,0.6216666666666667
title,10,sil,0.3,bm25,nnc,0.68
title,10,eucl,0.4,tfidf,rfc,0.5083333333333333
title,10,eucl,0.4,tfidf,xgc,0.6383333333333333
title,10,eucl,0.4,tfidf,nnc,0.6766666666666666
title,10,eucl,0.4,count,rfc,0.5266666666666666
title,10,eucl,0.4,count,xgc,0.6283333333333333
title,10,eucl,0.4,count,nnc,0.6716666666666666
title,10,eucl,0.4,bm25,rfc,0.48333333333333334
title,10,eucl,0.4,bm25,xgc,0.625
title,10,eucl,0.4,bm25,nnc,0.6683333333333333
title,10,sil,0.4,tfidf,rfc,0.4683333333333333
title,10,sil,0.4,tfidf,xgc,0.6
